"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.890109363E2,6.500770833E1,2.546267167E1,1.223478640E1,1.322321415E0,2.332400055E2,1.700000048E0,1.600000000E1
1.900109363E2,6.500770167E1,2.546265333E1,1.193478775E1,1.345483899E0,2.425399933E2,1.700000048E0,1.589999962E1
1.910109363E2,6.500769167E1,2.546263167E1,1.153479016E1,1.384602785E0,2.345200043E2,1.700000048E0,1.560000038E1
1.920109363E2,6.500768500E1,2.546260833E1,1.133479118E1,1.320262551E0,2.553699951E2,1.799999952E0,1.629999924E1
1.930109363E2,6.500768167E1,2.546258500E1,1.113479092E1,1.281658292E0,2.656900024E2,1.799999952E0,1.679999924E1
1.940109363E2,6.500767833E1,2.546255667E1,1.113479032E1,1.286805511E0,2.481199951E2,1.799999952E0,1.589999962E1
1.950109363E2,6.500767500E1,2.546253333E1,1.093479005E1,1.289379120E0,2.519400024E2,1.799999952E0,1.629999924E1
1.960109363E2,6.500767167E1,2.546251167E1,1.073478990E1,1.213714957E0,2.557299957E2,1.799999952E0,1.560000038E1
1.970109363E2,6.500767000E1,2.546247667E1,1.053478821E1,1.184375882E0,2.559600067E2,1.700000048E0,1.610000038E1
1.980109363E2,6.500766667E1,2.546244500E1,1.033478739E1,1.194670320E0,2.567300110E2,1.700000048E0,1.560000038E1
1.990109363E2,6.500766333E1,2.546241167E1,1.013478646E1,1.184890509E0,2.564899902E2,1.700000048E0,1.489999962E1
2.000109363E2,6.500766000E1,2.546238000E1,1.003478564E1,1.142168641E0,2.553399963E2,1.700000048E0,1.550000000E1
2.010109363E2,6.500765667E1,2.546234667E1,9.834784709E0,1.112314701E0,2.567900085E2,1.700000048E0,1.600000000E1
2.020109363E2,6.500765500E1,2.546231000E1,9.534782914E0,1.181802273E0,2.563599854E2,1.700000048E0,1.600000000E1
2.030109363E2,6.500765333E1,2.546227167E1,9.434781007E0,1.246142507E0,2.602000122E2,1.700000048E0,1.580000019E1
2.040109363E2,6.500765000E1,2.546223167E1,9.134779634E0,1.248716116E0,2.600100098E2,1.700000048E0,1.639999962E1
2.050109363E2,6.500764833E1,2.546220000E1,9.034778171E0,1.240480542E0,2.620000000E2,1.700000048E0,1.629999924E1
2.060109363E2,6.500764667E1,2.546217167E1,8.834776930E0,1.265187263E0,2.620000000E2,1.700000048E0,1.620000076E1
2.070109363E2,6.500764333E1,2.546214167E1,8.634776222E0,1.275996447E0,2.620000000E2,1.700000048E0,1.589999962E1
2.080109363E2,6.500764167E1,2.546211167E1,8.334774870E0,1.256951690E0,2.620000000E2,1.700000048E0,1.569999981E1
2.090109363E2,6.500764000E1,2.546208167E1,8.134773519E0,1.282687783E0,2.620000000E2,1.700000048E0,1.550000000E1
2.100109363E2,6.500763833E1,2.546204667E1,8.034771835E0,1.289893866E0,2.620000000E2,1.700000048E0,1.620000076E1
2.110109363E2,6.500763667E1,2.546202167E1,7.734770816E0,1.287320256E0,2.620000000E2,1.700000048E0,1.700000000E1
2.120109363E2,6.500763500E1,2.546199500E1,7.534769687E0,1.236877441E0,2.620000000E2,1.700000048E0,1.800000000E1
2.130109363E2,6.500763333E1,2.546197167E1,7.234768779E0,1.167904735E0,2.620000000E2,1.700000048E0,1.839999962E1
2.140109363E2,6.500763333E1,2.546195333E1,6.934767560E0,1.138050795E0,2.620000000E2,1.700000048E0,1.889999962E1
2.150109363E2,6.500763167E1,2.546192667E1,6.634766430E0,1.093269944E0,2.620000000E2,1.700000048E0,1.750000000E1
2.160109363E2,6.500763000E1,2.546190500E1,6.234765634E0,1.085549116E0,2.620000000E2,1.700000048E0,1.770000076E1
2.170109363E2,6.500762833E1,2.546187667E1,6.034764393E0,1.041283011E0,2.620000000E2,1.799999952E0,1.820000076E1
2.180109363E2,6.500762667E1,2.546185667E1,5.834763708E0,1.016061664E0,2.620000000E2,1.799999952E0,1.870000076E1
2.190109363E2,6.500762667E1,2.546183667E1,5.734762378E0,9.687072039E-1,2.620000000E2,1.799999952E0,1.839999962E1
2.200109363E2,6.500762500E1,2.546181333E1,5.534761470E0,9.553244710E-1,2.620000000E2,1.799999952E0,1.800000000E1
2.210109363E2,6.500762500E1,2.546179167E1,5.234760030E0,9.228969216E-1,2.604299927E2,1.799999952E0,1.839999962E1
2.220109363E2,6.500762500E1,2.546177000E1,4.734758589E0,8.899547458E-1,2.587399902E2,1.899999976E0,1.860000038E1
2.230109363E2,6.500762333E1,2.546174833E1,4.234757792E0,8.822339177E-1,2.491900024E2,1.899999976E0,1.750000000E1
2.240109363E2,6.500762333E1,2.546172500E1,3.634756241E0,8.544389009E-1,2.506000061E2,1.899999976E0,1.700000000E1
2.250109363E2,6.500762333E1,2.546169500E1,3.234754246E0,8.564977646E-1,2.577399902E2,1.899999976E0,1.689999962E1
2.260109363E2,6.500761500E1,2.546166500E1,2.834755473E0,8.477475047E-1,2.490000000E2,1.899999976E0,1.770000076E1
2.270109363E2,6.500761167E1,2.546163833E1,2.434754989E0,8.647333384E-1,2.526799927E2,1.899999976E0,1.760000038E1
2.280109363E2,6.500760833E1,2.546158167E1,2.334752511E0,8.889252543E-1,2.625899963E2,2.000000000E0,1.789999962E1
2.290109363E2,6.500760667E1,2.546153500E1,2.034750053E0,9.455447197E-1,2.681300049E2,2.000000000E0,1.660000038E1
2.300109363E2,6.500760667E1,2.546148667E1,1.734746840E0,9.985610843E-1,2.717200012E2,1.899999976E0,1.710000038E1
2.310109363E2,6.500760500E1,2.546144333E1,1.534744604E0,1.049003839E0,2.716499939E2,2.000000000E0,1.620000076E1
2.320109363E2,6.500760667E1,2.546138000E1,1.534739748E0,1.107167482E0,2.698099976E2,2.000000000E0,1.650000000E1
2.330109363E2,6.500760500E1,2.546132167E1,1.734736515E0,1.152977824E0,2.649599915E2,2.000000000E0,1.689999962E1
2.340109363E2,6.500760167E1,2.546129500E1,1.634736032E0,1.150404215E0,2.674500122E2,2.000000000E0,1.689999962E1
2.350109363E2,6.500759500E1,2.546127500E1,1.534737283E0,1.177169681E0,2.395899963E2,2.000000000E0,1.689999962E1
2.360109363E2,6.500758667E1,2.546124667E1,1.434738625E0,1.222465277E0,2.408399963E2,1.899999976E0,1.710000038E1
2.370109363E2,6.500758000E1,2.546121833E1,1.234739322E0,1.254378080E0,2.250700073E2,1.899999976E0,1.670000076E1
2.380109363E2,6.500757167E1,2.546119000E1,1.234740664E0,1.266216636E0,2.372200012E2,1.899999976E0,1.689999962E1
2.390109363E2,6.500756833E1,2.546116000E1,1.234739961E0,1.177684426E0,2.350899963E2,1.899999976E0,1.729999924E1
2.400109363E2,6.500756667E1,2.546113333E1,1.934738834E0,1.095843554E0,2.310299988E2,1.899999976E0,1.750000000E1
2.410109363E2,6.500756333E1,2.546110667E1,1.934738353E0,1.018120527E0,2.334199982E2,1.899999976E0,1.820000076E1
2.420109363E2,6.500755833E1,2.546108000E1,1.834738517E0,9.599569440E-1,2.356499939E2,2.000000000E0,1.850000000E1
2.430109363E2,6.500755500E1,2.546104667E1,1.734737593E0,9.110583067E-1,2.388099976E2,2.000000000E0,1.929999924E1
2.440109363E2,6.500754833E1,2.546102167E1,1.734738513E0,9.095141888E-1,2.338300018E2,2.000000000E0,2.020000076E1
2.450109363E2,6.500754167E1,2.546099500E1,1.934739323E0,8.801749945E-1,2.267899933E2,2.000000000E0,2.089999962E1
2.460109363E2,6.500753333E1,2.546097667E1,1.934741333E0,8.184083104E-1,2.151699982E2,2.000000000E0,2.139999962E1
2.470109363E2,6.500752500E1,2.546094333E1,2.434742346E0,7.808336020E-1,2.200299988E2,1.899999976E0,2.220000076E1
2.480109363E2,6.500751500E1,2.546091500E1,2.534744337E0,7.602447271E-1,2.204100037E2,2.000000000E0,2.220000076E1
2.490109363E2,6.500750333E1,2.546088500E1,2.434746864E0,7.859808207E-1,2.158800049E2,2.099999905E0,2.320000076E1
2.500109363E2,6.500749500E1,2.546086000E1,2.434748432E0,8.153200150E-1,2.243500061E2,2.200000048E0,2.310000038E1
2.510109363E2,6.500748333E1,2.546083000E1,2.334750960E0,8.611302972E-1,2.333300018E2,2.299999952E0,2.329999924E1
2.520109363E2,6.500748167E1,2.546078833E1,2.434748840E0,9.156908393E-1,2.518300018E2,2.400000095E0,2.339999962E1
2.530109363E2,6.500747333E1,2.546076000E1,2.334750188E0,9.440005422E-1,2.378300018E2,2.500000000E0,2.329999924E1
2.540109363E2,6.500747333E1,2.546072167E1,2.234747644E0,9.820899963E-1,2.571000061E2,2.500000000E0,2.129999924E1
2.550109363E2,6.500746667E1,2.546069333E1,2.134748347E0,1.000620008E0,2.409400024E2,2.599999905E0,2.160000038E1
2.560109363E2,6.500745500E1,2.546068667E1,2.634752425E0,1.016061664E0,2.351300049E2,2.400000095E0,2.129999924E1
2.570109363E2,6.500744333E1,2.546067833E1,3.134756393E0,1.019150019E0,2.193000031E2,2.200000048E0,2.160000038E1
2.580109363E2,6.500743667E1,2.546067667E1,3.134758866E0,9.733397365E-1,2.377799988E2,2.200000048E0,2.239999962E1
2.590109363E2,6.500743000E1,2.546066000E1,3.034760344E0,9.676777720E-1,2.290299988E2,2.299999952E0,2.270000076E1
2.600109363E2,6.500742000E1,2.546062333E1,2.934761787E0,9.805458188E-1,2.264700012E2,2.299999952E0,2.279999924E1
2.610109363E2,6.500740667E1,2.546059667E1,2.934765186E0,9.990758300E-1,2.238600006E2,2.299999952E0,2.260000038E1
2.620109363E2,6.500739333E1,2.546059500E1,2.934770243E0,1.000620008E0,2.111399994E2,2.200000048E0,2.289999962E1
2.630109363E2,6.500737667E1,2.546057000E1,2.834775046E0,0.000000000E0,2.111399994E2,2.200000048E0,2.250000000E1
2.640109363E2,6.500736333E1,2.546055167E1,2.634778999E0,1.035621166E0,2.120000000E2,2.200000048E0,2.200000000E1
2.650109363E2,6.500735167E1,2.546053500E1,2.534782416E0,1.045915604E0,2.120000000E2,2.200000048E0,2.210000038E1
2.660109363E2,6.500734167E1,2.546052000E1,2.334785299E0,1.047974467E0,2.120000000E2,2.200000048E0,2.220000076E1
2.670109363E2,6.500733167E1,2.546050500E1,2.134788181E0,1.065474987E0,2.120000000E2,2.200000048E0,2.250000000E1
2.680109363E2,6.500732167E1,2.546049000E1,2.034791064E0,1.136506677E0,2.120000000E2,2.299999952E0,2.260000038E1
2.690109363E2,6.500731000E1,2.546047333E1,1.834794483E0,1.180258036E0,2.120000000E2,2.299999952E0,2.320000076E1
2.700109363E2,6.500729333E1,2.546045000E1,1.434799399E0,1.201876402E0,2.120000000E2,2.299999952E0,2.279999924E1
2.710109363E2,6.500727833E1,2.546042667E1,1.234803670E0,1.216803312E0,2.120000000E2,2.299999952E0,2.329999924E1
2.720109363E2,6.500726500E1,2.546040500E1,1.034807406E0,1.225038886E0,2.120000000E2,2.299999952E0,2.360000038E1
2.730109363E2,6.500725167E1,2.546038667E1,8.348113622E-1,1.232759714E0,2.120000000E2,2.299999952E0,2.370000076E1
2.740109363E2,6.500723833E1,2.546036667E1,5.348152089E-1,1.253348589E0,2.120000000E2,2.299999952E0,2.370000076E1
2.750109363E2,6.500722500E1,2.546034667E1,3.348190560E-1,1.284746647E0,2.120000000E2,2.299999952E0,2.360000038E1
2.760109363E2,6.500721167E1,2.546032833E1,3.482301379E-2,1.315629959E0,2.120000000E2,2.299999952E0,2.300000000E1
2.770109363E2,6.500720000E1,2.546031167E1,-6.517356411E-2,1.327468634E0,2.120000000E2,2.299999952E0,2.279999924E1
2.780109363E2,6.500718833E1,2.546029333E1,-6.517025189E-2,1.315629959E0,2.120000000E2,2.299999952E0,1.920000076E1
2.790109363E2,6.500717833E1,2.546027833E1,-2.651673653E-1,1.287320256E0,2.120000000E2,2.299999952E0,1.920000076E1
2.800109363E2,6.500716833E1,2.546026333E1,-4.651644785E-1,1.268275499E0,2.120000000E2,2.299999952E0,1.950000000E1
2.810109363E2,6.500715833E1,2.546024833E1,-6.651615914E-1,1.238421679E0,2.120000000E2,2.299999952E0,2.000000000E1
2.820109363E2,6.500714667E1,2.546023333E1,-8.651580576E-1,1.218347549E0,2.120000000E2,2.400000095E0,2.010000038E1
2.830109363E2,6.500713833E1,2.546022000E1,-1.065155706E0,1.173566699E0,2.120000000E2,2.400000095E0,2.050000000E1
2.840109363E2,6.500713000E1,2.546020667E1,-1.165153355E0,1.114888310E0,2.120000000E2,2.400000095E0,2.089999962E1
2.850109363E2,6.500712000E1,2.546019333E1,-1.265150357E0,1.072166443E0,2.120000000E2,2.400000095E0,2.300000000E1
2.860109363E2,6.500710667E1,2.546017333E1,-1.265146506E0,1.050548077E0,2.120000000E2,2.400000095E0,2.360000038E1
2.870109363E2,6.500709500E1,2.546015667E1,-1.365143081E0,1.031503320E0,2.120000000E2,2.400000095E0,2.420000076E1
2.880109363E2,6.500707333E1,2.546012333E1,2.348631241E-1,1.023267746E0,2.120000000E2,2.400000095E0,2.520000076E1
2.890109363E2,6.500706500E1,2.546011167E1,1.348655870E-1,1.026356101E0,2.120000000E2,2.400000095E0,2.460000038E1
2.900109363E2,6.500705500E1,2.546009500E1,-6.513163337E-2,1.027385592E0,2.120000000E2,2.400000095E0,2.370000076E1
2.910109363E2,6.500704333E1,2.546008000E1,-1.651280967E-1,1.026356101E0,2.120000000E2,2.400000095E0,2.379999924E1
2.920109363E2,6.500703333E1,2.546006333E1,-2.651253165E-1,1.016061664E0,2.120000000E2,2.400000095E0,2.429999924E1
2.930109363E2,6.500702167E1,2.546004833E1,-4.651217792E-1,1.018120527E0,2.120000000E2,2.400000095E0,2.420000076E1
2.940109363E2,6.500701333E1,2.546003667E1,-5.651193153E-1,1.028929710E0,2.120000000E2,2.400000095E0,2.479999924E1
2.950109363E2,6.500700500E1,2.546002333E1,-5.651169611E-1,1.035106421E0,2.120000000E2,2.400000095E0,2.389999962E1
2.960109363E2,6.500699667E1,2.546001167E1,-5.651144969E-1,1.026356101E0,2.120000000E2,2.400000095E0,2.479999924E1
2.970109363E2,6.500698833E1,2.545999833E1,-6.651121423E-1,1.010399699E0,2.120000000E2,2.500000000E0,2.589999962E1
2.980109363E2,6.500697667E1,2.545998000E1,-6.651088237E-1,1.003708363E0,2.120000000E2,2.500000000E0,2.710000038E1
2.990109363E2,6.500696333E1,2.545996167E1,-5.651048578E-1,1.000105262E0,2.120000000E2,2.400000095E0,2.650000000E1
3.000109363E2,6.500696167E1,2.545996000E1,-6.651043209E-1,1.009370327E0,2.120000000E2,2.400000095E0,2.310000038E1
3.010109363E2,6.500694500E1,2.545995833E1,-4.650979621E-1,1.023782492E0,2.223699951E2,2.299999952E0,1.530000019E1
3.020109363E2,6.500692833E1,2.545992833E1,-3.650934706E-1,1.021723628E0,2.255000000E2,2.200000048E0,1.550000000E1
3.030109363E2,6.500691833E1,2.545990833E1,-6.650909071E-1,1.049518585E0,2.229299927E2,2.200000048E0,1.569999981E1
3.040109363E2,6.500689667E1,2.545987167E1,-3.650849125E-1,1.047459722E0,2.269499969E2,2.099999905E0,1.600000000E1
3.050109363E2,6.500688667E1,2.545986833E1,-4.650812501E-1,1.054151058E0,2.317299957E2,2.099999905E0,1.530000019E1
3.060109363E2,6.500687000E1,2.545985833E1,-6.650754388E-1,1.037165284E0,2.531999969E2,2.000000000E0,1.589999962E1
3.070109363E2,6.500686000E1,2.545985167E1,-5.650719958E-1,1.019150019E0,2.871799927E2,2.000000000E0,1.720000076E1
3.080109363E2,6.500686000E1,2.545984000E1,-4.650727640E-1,9.975316525E-1,3.028299866E2,1.899999976E0,1.750000000E1
3.090109363E2,6.500686500E1,2.545982333E1,-6.650758025E-1,9.831194282E-1,3.027099915E2,1.899999976E0,1.760000038E1
3.100109363E2,6.500687333E1,2.545980500E1,-8.650802451E-1,9.836341739E-1,3.128599854E2,1.899999976E0,1.789999962E1
3.110109363E2,6.500688333E1,2.545977667E1,-2.650859938E-1,1.003708363E0,3.108099976E2,1.899999976E0,1.629999924E1
3.120109363E2,6.500689333E1,2.545974667E1,-5.650918527E-1,1.042312503E0,3.115000000E2,1.899999976E0,1.589999962E1
3.130109363E2,6.500690500E1,2.545971167E1,-6.650986887E-1,1.037680030E0,3.131600037E2,1.799999952E0,1.610000038E1
3.140109363E2,6.500691667E1,2.545967667E1,-6.651055254E-1,1.101505518E0,3.105199890E2,1.799999952E0,1.650000000E1
3.150109363E2,6.500692333E1,2.545966167E1,-7.651091029E-1,1.139595032E0,3.020000000E2,1.799999952E0,1.650000000E1
3.160109363E2,6.500692667E1,2.545964667E1,-1.165111386E0,1.194670320E0,3.020000000E2,1.799999952E0,1.679999924E1
3.170109363E2,6.500693833E1,2.545960667E1,-1.165118554E0,1.247171998E0,3.020000000E2,1.799999952E0,1.610000038E1
3.180109363E2,6.500694000E1,2.545959833E1,-1.565119750E0,1.285261393E0,3.020000000E2,1.799999952E0,1.660000038E1
3.190109363E2,6.500695000E1,2.545955833E1,-1.765126271E0,1.321291924E0,3.020000000E2,1.799999952E0,1.710000038E1
3.200109363E2,6.500696000E1,2.545952000E1,-1.865132683E0,1.318718314E0,3.020000000E2,1.799999952E0,1.779999924E1
3.210109363E2,6.500697167E1,2.545948167E1,-1.865139743E0,1.291952729E0,3.020000000E2,1.799999952E0,1.820000076E1
3.220109363E2,6.500698000E1,2.545944667E1,-1.965145289E0,1.262613654E0,3.020000000E2,1.799999952E0,1.670000076E1
3.230109363E2,6.500698833E1,2.545941333E1,-2.065150725E0,1.242024779E0,3.020000000E2,1.799999952E0,1.660000038E1
3.240109363E2,6.500699667E1,2.545938167E1,-2.165156052E0,1.178713918E0,3.020000000E2,1.799999952E0,1.760000038E1
3.250109363E2,6.500699833E1,2.545938000E1,-2.265156810E0,1.121065021E0,3.020000000E2,1.799999952E0,1.670000076E1
3.260109363E2,6.500700500E1,2.545935333E1,-2.265161160E0,1.068048596E0,3.020000000E2,1.799999952E0,1.760000038E1
3.270109363E2,6.500701167E1,2.545932667E1,-2.365165510E0,1.016576409E0,3.020000000E2,1.799999952E0,1.839999962E1
3.280109363E2,6.500701833E1,2.545930333E1,-2.665169641E0,9.826047421E-1,3.020000000E2,1.799999952E0,1.810000038E1
3.290109363E2,6.500702500E1,2.545927667E1,-2.865173991E0,9.440005422E-1,3.020000000E2,1.799999952E0,1.870000076E1
3.300109363E2,6.500703167E1,2.545925333E1,-3.065178122E0,9.198086262E-1,3.020000000E2,1.799999952E0,1.789999962E1
3.310109363E2,6.500703833E1,2.545922833E1,-3.265182364E0,8.945872188E-1,3.020000000E2,1.799999952E0,1.829999924E1
3.320109363E2,6.500704333E1,2.545920500E1,-3.565185848E0,8.945872188E-1,3.020000000E2,1.799999952E0,1.810000038E1
3.330109363E2,6.500705333E1,2.545916833E1,-3.865192155E0,9.012786150E-1,3.020000000E2,1.899999976E0,1.860000038E1
3.340109363E2,6.500706167E1,2.545913500E1,-4.365197596E0,9.275294542E-1,3.020000000E2,1.899999976E0,1.829999924E1
3.350109363E2,6.500706167E1,2.545913833E1,-4.665197376E0,9.743691683E-1,3.020000000E2,1.899999976E0,1.720000076E1
3.360109363E2,6.500707000E1,2.545910500E1,-4.865202817E0,1.011943936E0,3.020000000E2,1.899999976E0,1.760000038E1
3.370109363E2,6.500707667E1,2.545907833E1,-5.065207170E0,1.034076929E0,3.020000000E2,1.899999976E0,1.839999962E1
3.380109363E2,6.500708333E1,2.545905500E1,-5.165211303E0,1.050033331E0,3.020000000E2,1.899999976E0,1.800000000E1
3.390109363E2,6.500709000E1,2.545903333E1,-5.365215327E0,1.073710561E0,3.020000000E2,2.000000000E0,1.689999962E1
3.400109363E2,6.500709500E1,2.545901000E1,-5.565218812E0,1.092755318E0,3.020000000E2,2.000000000E0,1.750000000E1
3.410109363E2,6.500710000E1,2.545899333E1,-5.865221858E0,1.100990891E0,3.020000000E2,2.000000000E0,1.850000000E1
3.420109363E2,6.500710333E1,2.545898333E1,-6.065223815E0,1.093269944E0,3.020000000E2,2.000000000E0,1.850000000E1
3.430109363E2,6.500711000E1,2.545895500E1,-6.365228279E0,1.095843554E0,3.020000000E2,2.000000000E0,1.870000076E1
3.440109363E2,6.500711167E1,2.545895000E1,-6.665229258E0,1.068048596E0,3.020000000E2,2.000000000E0,1.829999924E1
3.450109363E2,6.500711167E1,2.545894833E1,-6.965229368E0,1.032532811E0,3.020000000E2,1.899999976E0,1.910000038E1
3.460109363E2,6.500712000E1,2.545891833E1,-7.065234591E0,1.014002800E0,3.020000000E2,1.899999976E0,2.000000000E1
3.470109363E2,6.500712833E1,2.545888333E1,-7.265240145E0,1.040768385E0,3.020000000E2,1.899999976E0,1.870000076E1
3.480109363E2,6.500713833E1,2.545884500E1,-6.365246569E0,1.074740052E0,3.020000000E2,1.899999976E0,1.900000000E1
3.490109363E2,6.500714833E1,2.545880833E1,-5.665252883E0,1.087093353E0,3.020000000E2,1.899999976E0,1.879999924E1
3.500109363E2,6.500715500E1,2.545878333E1,-5.765257129E0,1.113344193E0,3.125000000E2,1.899999976E0,1.900000000E1
3.510109363E2,6.500716667E1,2.545874833E1,-5.865263983E0,1.119520783E0,3.150899963E2,1.899999976E0,1.829999924E1
3.520109363E2,6.500717000E1,2.545874167E1,-5.865265721E0,1.152977824E0,3.128299866E2,1.899999976E0,1.810000038E1
3.530109363E2,6.500717667E1,2.545873333E1,-5.865268866E0,1.150918841E0,3.159200134E2,1.899999976E0,1.889999962E1
3.540109363E2,6.500718000E1,2.545870000E1,-4.865272367E0,1.203420520E0,3.068500061E2,1.899999976E0,1.689999962E1
3.550109363E2,6.500719000E1,2.545866500E1,-4.965278573E0,1.233789206E0,3.073599854E2,1.899999976E0,1.729999924E1
3.560109363E2,6.500719333E1,2.545863833E1,-4.965281634E0,1.249745607E0,3.065199890E2,1.899999976E0,1.729999924E1
3.570109363E2,6.500720333E1,2.545860667E1,-4.965287621E0,1.226583004E0,3.076099854E2,1.899999976E0,1.700000000E1
3.580109363E2,6.500721167E1,2.545858000E1,-5.165292629E0,1.219891667E0,3.063299866E2,1.899999976E0,1.729999924E1
3.590109363E2,6.500722167E1,2.545854167E1,-3.665299057E0,1.210626721E0,3.067099915E2,1.899999976E0,1.789999962E1
3.600109363E2,6.500722667E1,2.545853167E1,-3.765301666E0,1.178713918E0,3.069599915E2,1.899999976E0,1.839999962E1
3.610109363E2,6.500723667E1,2.545849667E1,-3.665307875E0,1.178199172E0,3.067900085E2,1.899999976E0,1.829999924E1
3.620109363E2,6.500724667E1,2.545845833E1,-3.665314305E0,1.166360497E0,3.063200073E2,1.899999976E0,1.800000000E1
3.630109363E2,6.500725833E1,2.545842000E1,-3.665321385E0,1.152977824E0,3.077799988E2,1.899999976E0,1.870000076E1
3.640109363E2,6.500726833E1,2.545838667E1,-3.565327486E0,1.080401897E0,3.097900085E2,1.899999976E0,1.820000076E1
3.650109363E2,6.500726000E1,2.545836500E1,-3.465325674E0,1.002678871E0,2.751199951E2,1.799999952E0,1.750000000E1
3.660109363E2,6.500725167E1,2.545835333E1,-3.465323201E0,9.084846973E-1,2.546100006E2,1.799999952E0,1.760000038E1
3.670109363E2,6.500724667E1,2.545834000E1,-3.465322136E0,8.333352804E-1,2.831900024E2,1.799999952E0,1.870000076E1
3.680109363E2,6.500724000E1,2.545832833E1,-3.565320311E0,7.159786224E-1,4.059000015E1,1.799999952E0,1.770000076E1
3.690109363E2,6.500723667E1,2.545831667E1,-3.465319784E0,6.305347085E-1,3.159500122E2,1.799999952E0,1.839999962E1
3.700109363E2,6.500723333E1,2.545830167E1,-3.365319478E0,5.723711252E-1,3.105599976E2,1.799999952E0,1.939999962E1
3.710109363E2,6.500723333E1,2.545828000E1,-3.465320912E0,5.368552804E-1,3.087399902E2,1.899999976E0,1.900000000E1
